
functions called:
filename: <decorator-gen-0>, modulename: <decorator-gen-0>, funcname: <module>
filename: <decorator-gen-1>, modulename: <decorator-gen-1>, funcname: <module>
filename: <decorator-gen-1>, modulename: <decorator-gen-1>, funcname: _held_figure
filename: <decorator-gen-2>, modulename: <decorator-gen-2>, funcname: <module>
filename: <decorator-gen-3>, modulename: <decorator-gen-3>, funcname: <module>
filename: <decorator-gen-4>, modulename: <decorator-gen-4>, funcname: <module>
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: ModuleSpec.__init__
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: _ImportLockContext.__enter__
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: _ImportLockContext.__exit__
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: _ModuleLock.__init__
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: _ModuleLock.acquire
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: _ModuleLock.release
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: _ModuleLockManager.__enter__
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: _ModuleLockManager.__exit__
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: _ModuleLockManager.__init__
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: _call_with_frames_removed
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: _find_and_load
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: _find_and_load_unlocked
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: _find_spec
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: _find_spec_legacy
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: _gcd_import
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: _get_module_lock
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: _handle_fromlist
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: _init_module_attrs
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: _load_backward_compatible
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: _load_unlocked
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: _lock_unlock_module
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: _new_module
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: _requires_builtin_wrapper
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: _resolve_name
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: _sanity_check
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: _verbose_message
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: cached
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: cb
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: create_module
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: exec_module
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: find_spec
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: has_location
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: is_package
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: module_from_spec
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: parent
filename: <frozen importlib._bootstrap>, modulename: <frozen importlib, funcname: spec_from_loader
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: <genexpr>
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: <listcomp>
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: <setcomp>
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: ExtensionFileLoader.__init__
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: ExtensionFileLoader.create_module
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: ExtensionFileLoader.exec_module
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: FileFinder.__init__
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: FileFinder._fill_cache
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: FileFinder._get_spec
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: FileFinder.find_spec
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: FileLoader.__init__
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: FileLoader.get_data
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: FileLoader.is_resource
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: FileLoader.resource_path
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: SourceFileLoader.path_stats
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: SourceLoader.get_code
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: _LoaderBasics.create_module
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: _LoaderBasics.exec_module
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: _LoaderBasics.is_package
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: _NamespaceLoader.exec_module
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: _NamespacePath.__init__
